Country,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,CHN,12.09183627,13.63634486,9.093872102,8.857029819,10.10310072,9.012854035,7.332030984,7.226936454,6.755778416,6.358383356,6.123803825,6.303967123
Cote d'Ivoire,CIV,-0.455535428,-0.295788895,0.375834837,0.981061397,-0.307436734,-6.647608026,8.00176057,6.17436763,6.065754946,6.124571814,5.65619704,5.139962905
Cameroon,CMR,0.690443666,2.074680989,0.688419344,-0.56519321,0.636570103,1.338592131,1.756738266,2.613702643,3.102738745,2.900267022,1.75591711,0.541059142
"Congo, Dem. Rep.",COD,1.983940773,2.84973584,2.784278927,-0.500119648,3.599043063,3.365772615,3.570436737,4.926509155,5.896416369,3.44510359,-0.903382021,0.381205501
"Congo, Rep.",COG,2.804197998,-4.895969042,2.001652343,3.975409551,5.454836285,0.53220782,1.097463018,0.871120616,4.155784528,0.08739607,-5.268464946,-7.036206049
Colombia,COL,5.3585839,5.602510274,2.331562335,0.499676781,2.835318278,5.467383464,2.990156958,3.851738521,3.412994223,2.11871999,1.152270693,0.913126984
Comoros,COM,0.222078342,-1.587020796,-1.984210649,-0.476349813,-0.236113529,0.149312043,0.538505612,1.03889143,-0.34211149,-1.328791327,-0.13495104,0.194004389
Cabo Verde,CPV,6.584978002,13.83463241,5.504249144,-2.311434992,0.371907559,2.805938975,-0.080767942,-0.384688683,-0.598750895,-0.220579494,2.538512155,2.593045305
Costa Rica,CRI,5.720727925,6.665863242,3.231143355,-2.26692409,3.635324396,3.055681443,3.58892727,1.133016575,2.401894438,2.547986556,3.096586889,2.171721751
Caribbean small states,CSS,5.96847453,2.491621262,0.648859221,-4.114072061,0.76654498,0.404170154,0.712470707,0.350510131,-0.030647283,0.616194229,-2.438398381,-0.504096749
Cuba,CUB,11.94701371,7.191405004,4.060975651,1.371998715,2.25981038,2.60673959,2.766054888,2.477313337,0.803785555,4.240918772,,
Curacao,CUW,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,
Cyprus,CYP,2.781022803,2.61259233,1.288334269,-4.374273984,-1.29760034,-2.206049098,-4.524162137,-5.715037527,-0.312564152,2.561344621,2.560769412,3.458292099
Czech Republic,CZE,6.564559092,4.988202195,1.834145073,-5.343397791,1.975868189,1.567627263,-0.938553682,-0.516675079,2.607037043,5.102415767,2.396486237,4.043001244
Germany,DEU,3.817196752,3.39870617,1.274699038,-5.37941105,4.239504345,5.599481428,0.303518386,0.215722046,1.50565308,0.866213323,1.124029998,1.7947102
Djibouti,DJI,,,,,,,,,7.07261105,7.880204553,7.000971092,2.496580819
Dominica,DMA,2.668027724,6.106715294,6.933852575,-1.384819666,0.375203641,-0.617745189,-1.521151714,-1.096356695,3.885302949,-3.0552462,2.106717425,-4.708496367
Denmark,DNK,3.572035729,0.462745499,-1.094850555,-5.413991945,1.419488116,0.920390598,-0.149947287,0.513432702,1.105414721,0.891364977,1.171453782,1.503090966
Dominican Republic,DOM,7.615936334,5.912647616,1.793963117,-0.410140874,6.914234903,1.80546548,1.424113959,3.586402333,6.347731472,5.787507776,5.406832887,3.403978349
Algeria,DZA,0.210971674,1.799196896,0.713952801,-0.101599762,1.763682018,0.930355173,1.321109306,0.696353667,1.733280904,1.790253965,1.431403437,-0.052730145
East Asia & Pacific (excluding high income),EAP,9.924516539,11.33865803,7.649522751,6.928062827,9.000698146,7.688608994,6.733761569,6.418456688,5.988088441,5.731494983,5.561606641,5.809727248
Early-demographic dividend,EAR,4.634974477,4.54849329,1.987514354,-0.829413875,4.85558069,3.664358232,2.715518453,2.808863341,2.547044959,3.208963686,3.110694634,3.218159355
East Asia & Pacific,EAS,4.770001269,5.720326381,2.792274605,0.701489232,6.347330273,3.92107691,3.973357567,4.041401641,3.418972913,3.4636642,3.398217914,3.845988848
Europe & Central Asia (excluding high income),ECA,7.982842177,7.505034844,4.086376213,-6.406430548,4.637279226,5.975118384,3.073502305,3.399372265,1.611196821,-0.045455028,0.899826938,3.411171153
Europe & Central Asia,ECS,3.616550843,3.333404827,0.60508545,-4.859189245,2.18271644,2.165395478,-0.109767426,0.420714228,1.35551794,1.484587652,1.346935481,2.16246079
Ecuador,ECU,2.66753642,0.478152631,4.574821686,-1.101802097,1.837978037,6.143477932,3.981860644,3.325690087,2.212336985,-1.396971243,-3.022242302,1.512550645
"Egypt, Arab Rep.",EGY,4.966033533,5.234633028,5.282444412,2.755735398,3.091669379,-0.341314769,-0.01428269,-0.083564439,0.668288269,2.18436429,2.263270591,2.190073004
Euro area,EMU,2.75558863,2.521684393,-0.049505669,-4.82636171,1.844619014,1.824357329,-1.112003596,-0.5856454,0.992154511,1.764632892,1.47703648,2.112183206
Eritrea,ERI,-3.346965062,-0.69005245,-11.47336358,2.004025688,0.320461257,6.643278697,,,,,,
Spain,ESP,2.428012521,1.865813028,-0.482674966,-4.424062114,-0.445350775,-1.349930077,-2.990755144,-1.383096773,1.683527291,3.512536377,3.187304755,2.857073861
Estonia,EST,10.9240292,8.240850138,-5.165513258,-14.55986124,2.492551994,7.924443455,4.681290004,2.299973572,3.160902353,1.607658397,2.033554222,4.878846275
Ethiopia,ETH,7.849727265,8.49816278,7.879151526,5.96026306,9.616335036,8.284116597,5.830163313,7.734564359,7.450233088,7.622224694,4.90414649,7.56287112
European Union,EUU,2.962295341,2.678777423,0.105020464,-4.63562707,1.877325031,1.787881376,-0.64201855,-0.039524982,1.428345638,2.010257796,1.657636457,2.186756103
Fragile and conflict affected situations,FCS,4.134206861,2.819877351,2.829229991,2.19060298,3.6522468,-7.694100248,11.39407037,1.214492173,-1.267909075,-0.180978499,1.879291604,1.050739764
Finland,FIN,3.656622696,4.738263812,0.252853935,-8.706689219,2.522229366,2.096442142,-1.89409884,-1.214215943,-1.041827134,-0.194203964,1.842244341,2.336294703
Fiji,FJI,1.163873936,-1.729659003,0.011133119,-2.384600404,1.998933778,1.859893596,0.655600892,4.005724601,4.877361153,3.10609417,-0.358360745,3.02714746
France,FRA,1.663664041,1.730142884,-0.363093901,-3.439413772,1.463158942,1.586713905,-0.301002036,0.059831492,0.464385588,0.646648268,0.784469316,1.426677635
Faroe Islands,FRO,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,0.353113933,-1.397009087,-1.656176733,1.681326889,2.380664276,3.494894175,-2.022622,-4.043016749,-2.450489096,4.511505276,-0.543742411,1.413382097
Gabon,GAB,-5.612928802,2.851134797,-6.280010014,-3.046506586,3.598569982,3.50202272,1.674730762,2.124705593,1.063861368,0.948190657,-0.475678469,-1.159423848
United Kingdom,GBR,1.705659242,1.562786241,-1.252779497,-4.909740527,0.900491453,0.662683265,0.778161519,1.371395549,2.280809345,1.535547587,1.210530921,1.129291301
Georgia,GEO,10.81139451,13.83017724,3.634228687,-2.390625542,7.656695282,8.632696816,7.74068509,4.72866588,5.99884635,3.154326513,2.788137287,5.04823175
Ghana,GHA,3.650514152,1.649515843,6.346275112,2.190061334,5.222157939,11.27926346,6.696690312,4.814854481,1.608950017,1.50204564,1.42766937,6.147992732
Gibraltar,GIB,,,,,,,,,,,,
Guinea,GIN,-0.884977497,4.549523521,1.852612703,-3.303714548,2.51296746,3.305613565,3.60451523,1.636142317,1.345307677,1.359217666,7.741824286,5.515315828
"Gambia, The",GMB,-2.051125178,0.392715897,2.442872701,3.139260685,3.215648415,-7.266178918,2.332255424,1.56526567,-2.179213122,1.149360163,-0.837919977,0.441810867
Guinea-Bissau,GNB,0.004069797,0.885624639,0.772482509,0.875296044,2.026961324,5.357595256,-4.231756794,0.593533571,-1.624224635,3.449628434,3.619137228,3.324895938
Equatorial Guinea,GNQ,2.960129721,10.12357061,12.49649567,-3.192905178,-12.9453419,1.897162659,3.692596952,-8.127370064,-3.646087205,-12.64424045,-12.02637559,-6.74721992
Greece,GRC,5.335601875,3.010984003,-0.599389804,-4.552117255,-5.600777667,-8.997955016,-6.797860844,-2.537258522,1.413058085,0.368211359,0.171446153,1.497792282
Grenada,GRD,-4.280909402,5.78790175,0.614917652,-6.941623435,-0.873382368,0.383151294,-1.535751848,1.938674264,6.887976772,5.976634305,3.206513435,3.241612149
Greenland,GRL,5.855030281,2.748781079,6.593978749,0.874906571,0.695314556,-0.470283635,1.536976945,-1.125540414,5.664423224,0.633667082,7.525033282,
Guatemala,GTM,3.012292536,3.950844206,1.024157493,-1.649976677,0.660625514,1.942669186,0.797912686,1.535244526,2.032858704,2.03275711,1.040643645,0.749086568
Guam,GUM,-3.97776594,0.686358791,1.613782619,0.191250318,1.955229242,-0.023799433,1.837640903,1.589878816,1.182231733,-0.030697381,-0.329650842,
Guyana,GUY,5.318428526,7.26780219,2.189122883,3.638394678,4.018061694,4.83904358,4.718395163,4.309408216,3.124314641,2.474984148,2.6763036,2.321827967
High income,HIC,2.259272473,1.843370621,-0.480480759,-4.140146286,2.301739009,1.389206645,0.629235421,0.771250159,1.379306634,1.716476576,1.048797535,1.664906996
"Hong Kong SAR, China",HKG,6.347493911,5.553548741,1.518795715,-2.668881261,5.986403751,4.112128288,0.583753601,2.687870744,2.04317211,1.520021198,1.532116052,3.017655998
Honduras,HND,4.193582818,3.893642533,2.051207504,-4.403183848,1.708904258,1.885918082,2.242810082,0.985254206,1.286505407,2.083154798,2.021160274,3.063958783
Heavily indebted poor countries (HIPC),HPC,3.114999125,3.736646745,3.10012549,1.395437103,2.771827137,1.841790445,2.870815916,2.851125413,2.709138504,2.225543904,1.697037385,2.432141466
Croatia,HRV,4.832461401,5.244820108,2.087701603,-7.270236568,-1.168357014,2.867772203,-1.945442651,-0.370944746,0.311605127,3.194278252,3.888429795,3.990212921
Haiti,HTI,0.662115611,1.749025245,-0.695362963,1.536497307,-6.884637,4.010975393,1.443634179,2.809536875,1.442032508,-0.098396905,0.178175907,-0.060334351
Hungary,HUN,4.013012335,0.590470886,1.032263083,-6.455177065,0.910191644,1.950394911,-1.13451751,2.377745234,4.50887924,3.613301732,2.515274973,4.338446409
IBRD only,IBD,6.911153185,7.585420307,4.56593563,1.032997071,6.388521804,5.130392295,3.963144667,3.935879695,3.247878393,2.841374527,3.101252791,3.896449109
IDA & IBRD total,IBT,6.522945166,7.134447467,4.227970957,0.912540409,5.970028175,4.702449488,3.657322512,3.654611346,3.017153427,2.518861592,2.694710275,3.525527343
IDA total,IDA,4.386564586,4.191980447,2.833268518,2.591835958,3.658973745,2.225571812,2.844565421,3.246495021,3.378700716,1.608280402,0.673054556,2.090971765
IDA blend,IDB,4.650428713,3.700517517,1.858915902,2.807470714,3.577524324,2.294188891,2.111618585,2.820326915,3.416619418,1.460078475,-0.715708845,0.446159026
Indonesia,IDN,4.066289193,4.90681495,4.590605774,3.238193028,4.82944014,4.794247841,4.677119579,4.23837264,3.731244892,3.645003674,3.845302036,3.9230726
IDA only,IDX,4.149576016,4.757671995,3.894908892,2.353958384,3.695866199,2.094704439,3.595839287,3.658441282,3.299905483,1.733643243,2.115534257,3.788729238
Isle of Man,IMN,6.585390359,6.333097904,8.719880073,1.108776408,8.395137434,3.923124786,5.405088774,3.720126078,4.29736067,-4.070196111,,
India,IND,7.584629578,8.15356726,2.375249298,6.950038738,8.763184414,5.248536528,4.134717786,5.096691727,6.140334036,6.899035599,5.889836403,5.429243119
Not classified,INX,,,,,,,,,,,,
Ireland,IRL,2.714803591,2.210718729,-5.874566255,-5.590539849,1.248486081,2.536796695,-0.385849631,1.105065961,7.539384659,24.37653373,3.961261313,6.497338035
"Iran, Islamic Rep.",IRN,3.811537518,6.949722231,-0.869983585,-0.146819349,4.549452582,1.389260858,-8.609153935,-1.459521534,3.301786802,-2.501153074,12.10099909,3.162263857
Iraq,IRQ,7.416023603,-1.095281207,5.547690222,0.670778342,3.400141878,4.277568331,10.28814328,4.085941243,-2.530283268,1.580264666,7.756986237,-3.55917062
Iceland,ISL,2.580699635,6.694382385,-0.2140387,-6.823754003,-3.466822748,1.652034419,0.781571355,3.326153448,1.069664282,3.230098669,5.999826975,1.867198334
Israel,ISR,3.367241645,3.9114933,1.174882082,-1.012892748,3.319174045,2.741435784,0.077760723,2.186400305,1.444063834,1.016555374,2.073594862,1.358011069
Italy,ITA,1.700456258,0.962784205,-1.703747,-5.911711979,1.37422513,0.403801715,-3.080603909,-2.860800443,-0.800672819,1.049299365,1.029750379,1.629827569
Jamaica,JAM,2.317356713,0.876894828,-1.332718939,-4.812792733,-1.925455668,1.289842843,-1.026185787,0.117616275,0.321135869,0.546720961,1.042072194,0.170549601
Jordan,JOR,4.0837791,3.652513453,2.331125123,0.353701093,-2.834867477,-2.729526294,-2.712585066,-2.315333473,-1.536254581,-1.520903922,-1.194737204,-0.6211839
Japan,JPN,1.355753419,1.537441316,-1.141424849,-5.404594188,4.173027538,0.069762808,1.657317593,2.147531753,0.507999337,1.461441948,1.054626754,1.880019757
Kazakhstan,KAZ,9.535335075,7.661436102,2.049064285,-1.433769665,5.794225111,5.873514056,3.334055983,4.485116947,2.676714897,-0.268267118,-0.327514633,2.595522719
Kenya,KEN,3.588091308,3.950219017,-2.488070028,0.511532948,5.487937129,3.269457944,1.78472733,3.091071126,2.61606794,3.005934527,3.192383638,2.272175223
Kyrgyz Republic,KGZ,2.000426334,7.512743595,7.376440391,1.651651519,-1.651753118,4.674715696,-1.738142576,8.735789199,1.957996974,1.758864491,2.23180525,2.526200055
Cambodia,KHM,9.091672812,8.5831286,5.124959813,-1.402853817,4.344744362,5.381940556,5.577812185,5.599918784,5.40187153,5.333422892,5.292483361,5.19299957
Kiribati,KIR,-3.601377975,0.025715917,-3.970220747,-1.832485663,-3.605161719,-1.447133369,3.256959643,3.908915078,-0.863463374,8.383635222,-0.617406586,1.32859334
St. Kitts and Nevis,KNA,0.572743665,-1.325504263,5.132528317,-4.075870221,-3.311261722,1.294133315,-1.706227771,5.065178401,4.839125291,2.924869809,1.21538699,0.779803516
"Korea, Rep.",KOR,4.625216748,4.931903195,2.051380609,0.190517264,5.967519429,2.887463263,1.756043816,2.428866761,2.694343122,2.249661522,2.465812967,2.62122194
Kuwait,KWT,2.968660685,0.65052254,-3.274442247,-12.56789523,-8.200908123,2.99902776,0.204573952,-4.552396214,-4.389787514,-3.326224124,0.562920188,-4.837596319
Latin America & Caribbean (excluding high income),LAC,3.743250962,4.021372159,2.72388312,-2.765948652,4.313182759,2.954649091,1.853566749,1.610872275,0.132612177,-1.433603172,-1.507432601,0.547034228
Lao PDR,LAO,6.849041478,5.780619731,6.000506384,5.757048091,6.889552029,6.550945354,6.650641642,6.705811096,6.272785911,5.85998123,5.528425711,5.337134727
Lebanon,LBN,-0.208103431,8.570389438,9.813320831,8.157364683,4.201516321,-4.607850819,-4.055135329,-4.360986278,-3.953057251,-3.460695905,-0.635284321,0.75128265
Liberia,LBR,4.375151083,5.260236644,2.757475026,1.196561014,2.429104953,4.955673239,5.117500739,6.047886558,-1.694317586,-2.419848249,-4.035610729,-0.102120901
Libya,LBY,4.89352376,4.768226701,1.264394684,-1.891878756,4.202673407,-62.225087,122.9683012,-13.56809487,-24.09969008,-9.312938031,-3.695929967,25.05903115
St. Lucia,LCA,5.135058848,-0.150101799,4.448056099,0.113916145,-2.510281403,-0.094318441,-0.393269755,2.909010714,-0.645910727,1.511922243,1.19164148,2.214309117
Latin America & Caribbean,LCN,3.937834674,4.202191074,2.651497935,-3.055389948,4.571421035,3.134211114,1.622084038,1.632626173,-0.113133891,-0.985872213,-1.506457862,0.70298398
Least developed countries: UN classification,LDC,5.840102149,6.909938974,4.964380772,2.389416068,3.461585102,1.740902736,3.119174957,3.389887221,2.941399928,1.340875239,1.202696797,2.838854625
Low income,LIC,1.995969302,3.214806713,2.09174961,2.467575127,3.924464886,1.826827912,3.605563523,3.084658932,3.051286517,-0.774295925,-0.100636612,3.026340277
Liechtenstein,LIE,7.892705203,2.661929391,1.170818302,-1.77928931,,,,,,,,
Sri Lanka,LKA,6.871361077,6.038668933,5.232754431,2.872273886,7.356756982,7.782197162,8.556865886,2.592064011,4.020805168,4.031030713,3.30111226,1.953719888
Lower middle income,LMC,5.945977948,6.276787117,3.354146434,3.439460526,5.767711357,3.905396339,3.580550083,3.971525154,4.117681079,4.174356328,3.68520258,3.844970924
Low & middle income,LMY,6.594154152,7.203589863,4.307660686,1.158690903,6.027835603,4.728187073,3.867419326,3.792630271,3.192716888,2.55993007,2.856276594,3.599725644
Lesotho,LSO,3.375377834,3.953752584,5.797897927,1.178959483,4.962637554,5.678334079,4.691461124,0.52354392,1.755726732,1.156076618,1.041536505,4.195284019
Late-demographic dividend,LTE,8.059536324,8.945678531,5.872804719,2.020678974,6.989338619,6.197924446,4.717555283,4.561081224,3.935802052,3.188754668,3.058878508,4.1874036
Lithuania,LTU,9.13481652,12.41447913,3.689037016,-13.86303536,3.793652566,8.465325784,5.228863385,4.551312008,4.431668573,2.999073124,3.653669286,5.316392146
Luxembourg,LUX,3.514143359,6.693995465,-3.02853191,-6.113373324,2.968122577,0.285277468,-2.717088654,1.286206821,3.308044869,0.462609061,0.884662505,-0.677398726
Latvia,LVA,12.920438,10.88056627,-2.528643112,-12.97671132,-1.920431852,8.33571298,5.333067417,3.532806538,2.822017909,3.818117077,3.147171909,5.561948303
"Macao SAR, China",MAC,10.84268146,12.06180424,1.277871159,-0.793904923,22.54473009,18.91123953,6.694852531,8.629907118,-3.372476886,-23.18116311,-2.680942167,7.273650068
St. Martin (French part),MAF,,,,,,,,,,,,
Morocco,MAR,6.327523823,2.334515052,4.676596363,2.964299665,2.471154038,3.804739156,1.53897028,3.012707323,1.18559229,3.080330027,-0.151105653,2.732735863
Monaco,MCO,3.17172042,12.28824799,7.723481996,,,,,,,,,
Moldova,MDA,5.09166889,3.238976578,8.005387613,-5.881261331,7.207008539,6.861770531,-0.686972241,9.429297912,4.863915898,-0.335853401,4.563371563,4.564882779
Madagascar,MDG,1.999111367,3.216004305,4.112602671,-6.686150503,-2.498148653,-1.309243342,0.249146997,-0.481736333,0.562544448,0.375158368,1.416050894,1.415502391
Maldives,MDV,22.82359813,4.925748928,6.634717312,-9.701074646,4.319473267,5.493197326,-0.421672655,4.25914794,4.477102315,-0.235916332,3.841872245,6.689948088
Middle East & North Africa,MEA,3.812353621,2.916019153,2.220288565,-1.601727704,2.792537853,1.510138587,1.786315634,0.630231913,0.902305432,0.624773451,2.779967279,0.094621077
Mexico,MEX,2.957299317,0.696320215,-0.48082975,-6.797347221,3.493025931,2.121358427,2.151277927,-0.058379273,1.4497197,1.901076945,1.582355278,0.754562146
Marshall Islands,MHL,1.391904337,3.535874742,-1.797441747,-1.827732422,6.240425822,0.981155106,3.220159039,2.606791654,-0.953935541,-0.545038809,1.77222273,2.382310313
Middle income,MIC,6.812402194,7.416195165,4.489947528,1.282303352,6.207510008,4.915309847,4.011528681,3.942594871,3.335601869,2.755435703,3.049754848,3.762533774
"Macedonia, FYR",MKD,4.990618257,6.354252685,5.373758867,-0.441205157,3.276601754,2.258707106,-0.535520512,2.840822273,3.542048486,3.751081731,2.829632451,-0.073615065
Mali,MLI,1.273156684,0.099161466,1.345141527,1.322384779,2.13752128,0.145208782,-3.721145407,-0.621567621,3.982606553,2.898828067,2.701922163,2.192772082
Malta,MLT,1.45839227,3.624422341,2.676265866,-3.19485642,3.035346348,0.894429973,1.79334444,3.152576935,5.976873728,7.036609437,2.849611123,4.14990811
Myanmar,MMR,12.23379145,11.25097185,9.568621748,9.837575216,8.858004101,4.761975769,6.420137223,7.45301583,7.001293806,6.013547473,4.907949674,5.401455162
Middle East & North Africa (excluding high income),MNA,3.618337754,4.157619385,1.605893929,0.76046932,3.325264571,-2.767946109,0.981842472,-0.236400236,0.270004731,-0.805936669,5.198968088,1.812403904
Montenegro,MNE,8.431556148,6.662686778,7.032670435,-5.996979909,2.546265914,3.120070802,-2.805587678,3.448002896,1.684978055,3.332418369,2.925519189,4.27185431
Mongolia,MNG,7.216645273,8.816226149,7.389554248,-2.754515797,4.62573163,15.21527589,10.2160877,9.513267652,5.863633873,0.557729593,-0.446336717,4.223566841
Northern Mariana Islands,MNP,-3.787795657,-3.303222516,-7.84620672,-14.92850831,3.712207988,-6.597370205,0.664901975,2.069565032,2.694615416,3.114777121,28.12223649,
Mozambique,MOZ,6.667839414,4.322998983,3.796372665,3.28988356,3.615662385,4.035382842,4.118748884,4.070366728,4.372211964,3.55604092,0.815975106,0.77662851
Mauritania,MRT,15.54981759,-0.038013366,-1.734397492,-3.829016935,1.776528807,1.658734396,2.685863691,2.973527881,2.520430662,-1.47109632,-0.814463441,0.709690592
Mauritius,MUS,8.033208058,5.246496948,5.006539083,3.041100454,4.129198864,3.911001248,3.209499452,3.132851975,3.556902932,3.331728087,3.728689879,3.706428291
Malawi,MWI,1.662901625,6.339889587,4.394494538,5.064058853,3.685599645,1.76415977,-1.087023305,2.154881414,2.655168323,-0.152737774,-0.450112622,1.037151983
Malaysia,MYS,3.629439296,4.373375779,2.955529208,-3.277070336,5.487819081,3.371387329,3.537835041,2.803783623,4.178597991,3.335362576,2.668914577,4.438368612
North America,NAC,1.695168124,0.840696471,-1.120151242,-3.667213498,1.704484937,0.972487388,1.366921353,0.989094304,1.794907828,1.896158149,0.688962171,1.57042536
Namibia,NAM,5.847195541,5.377568818,1.360338808,-1.143204631,4.276295715,3.077802309,2.819635627,3.217220154,3.908317291,3.719598086,-1.498990666,-2.888281621
New Caledonia,NCL,,,,,,,,,,,,
